regime,tp_r,symbol,timeframe,bars,start,end,trades,wins,losses,win_rate,total_R,expectancy_R,profit_factor,total_pnl,return_pct,max_drawdown,max_drawdown_pct,avg_bars_held,buy_trades,sell_trades,buy_R,sell_R,tp_exits,sl_exits,unresolved,avg_sl_points,setups_detected,setups_entered,rejected_stops
live,2.5,us500,H4,14186,2017-04-30 22:00:00+00:00,2026-08-21 17:00:00+00:00,118,42,76,35.59322033898305,27.37659878423135,0.23200507444263857,1.3556587629163586,2737.6598784231355,27.376598784231355,-819.1955522950484,-8.191955522950483,30.177966101694917,72,46,35.44408852673097,-8.067489742499617,42,76,0,477.04576271186454,243,152,0
live,2.5,us500,D1,6991,1999-02-18 00:00:00+00:00,2026-08-21 00:00:00+00:00,61,23,38,37.704918032786885,17.235431649057936,0.2825480598206219,1.4350872230106777,1723.5431649057934,17.235431649057933,-886.0074354793451,-8.86007435479345,21.868852459016395,44,17,13.854040024521556,3.381391624536377,23,38,0,404.01311475409796,151,74,0
live,2.5,xauusd,M1,25229,2026-08-09 22:01:00+00:00,2026-09-03 05:37:00+00:00,258,83,175,32.17054263565892,8.255168024295031,0.03199677528796524,1.0430394735590198,825.5168024295031,8.25516802429503,-2420.8342831678347,-24.208342831678348,27.550387596899224,141,117,-15.341648067683376,23.596816091978415,83,175,0,405.12480620155316,509,313,0
live,2.5,xauusd,M5,20564,2026-05-10 22:00:00+00:00,2026-08-21 20:40:00+00:00,225,75,150,33.33333333333333,11.698157041280691,0.051991809072358626,1.0685867343224658,1169.8157041280688,11.698157041280687,-2020.7972300741258,-20.207972300741257,9.764444444444445,98,127,-12.99659194046706,24.694748981747747,75,150,0,523.3208888888912,536,241,0
live,2.5,xauusd,M15,21007,2025-09-30 22:00:00+00:00,2026-08-21 20:30:00+00:00,131,42,89,32.06106870229007,4.302644888082574,0.03284461746627919,1.0437281230375062,430.26448880825717,4.302644888082572,-1772.192999635934,-17.72192999635934,5.412213740458015,74,57,-5.901178116110988,10.20382300419356,42,89,0,616.4595419847342,608,133,0
live,2.5,xauusd,H1,21516,2023-01-02 23:00:00+00:00,2026-08-21 20:00:00+00:00,141,52,89,36.87943262411347,32.03976102060882,0.22723234766389236,1.340216532541299,3203.976102060883,32.03976102060883,-2010.1717569508728,-20.10171756950873,9.02836879432624,75,66,14.536706591209128,17.503054429399707,52,89,0,588.3304964538991,618,148,0
live,2.5,xauusd,H4,21049,2013-01-02 03:00:00+00:00,2026-08-21 18:00:00+00:00,136,45,91,33.088235294117645,13.47403095172516,0.09907375699797911,1.1404220545140622,1347.4030951725163,13.474030951725164,-2358.2261189641686,-23.582261189641684,5.75,78,58,25.475772973372724,-12.001742021647566,45,91,0,612.5985294117636,647,143,0
live,2.5,xauusd,D1,8787,1992-08-18 00:00:00+00:00,2026-08-21 00:00:00+00:00,49,18,31,36.734693877551024,10.931077145368441,0.22308320704833554,1.330650368799877,1093.1077145368445,10.931077145368445,-646.6746286264624,-6.466746286264624,7.122448979591836,31,18,12.525902201233857,-1.5948250558654138,18,31,0,536.5710204081632,269,50,0
live,3.0,audusd,M1,25361,2026-08-09 21:05:00+00:00,2026-09-03 05:38:00+00:00,0,0,0,,0.0,,,0.0,0.0,0.0,0.0,,0,0,0.0,0.0,0,0,0,,0,0,0
live,3.0,audusd,M5,20095,2026-05-17 21:05:00+00:00,2026-08-21 20:55:00+00:00,3,2,1,66.66666666666666,4.89303477921011,1.6310115930700366,5.705801305515833,489.303477921011,4.89303477921011,0.0,0.0,2943.6666666666665,2,1,1.934102541017095,2.958932238193015,2,1,0,351.13333333333475,5,5,0
