config,symbol,timeframe,bars,start,end,trades,wins,losses,win_rate,total_R,expectancy_R,profit_factor,total_pnl,return_pct,max_drawdown,max_drawdown_pct,avg_bars_held,buy_trades,sell_trades,buy_R,sell_R,tp_exits,sl_exits,unresolved,avg_sl_points,setups_detected,setups_entered,rejected_stops
live_fill_spread,eurgbp,H1,22655,2023-01-01 23:00:00+00:00,2026-08-21 20:00:00+00:00,39,21,18,53.84615384615385,0.24439713847445366,0.00626659329421676,1.0127084617173459,24.43971384744549,0.24439713847445488,-948.6700208211314,-9.486700208211314,34.35897435897436,22,17,0.2258718083824054,0.01852533009204882,21,18,0,294.88717948717874,55,39,0
live_fill_spread,eurgbp,H4,21210,2013-01-01 22:00:00+00:00,2026-08-21 17:00:00+00:00,220,121,99,55.00000000000001,12.621242729214924,0.05736928513279511,1.1229093725429349,1262.1242729214919,12.621242729214918,-2168.9949374768894,-21.689949374768894,13.477272727272727,113,107,14.422465762233212,-1.801223033018292,121,99,0,472.0672727272725,358,231,0
live_fill_spread,eurgbp,D1,6301,2002-05-08 00:00:00+00:00,2026-08-21 00:00:00+00:00,73,47,26,64.38356164383562,15.08031708451652,0.2065796860892674,1.5021973433895799,1508.0317084516519,15.080317084516517,-770.3888523696569,-7.703888523696569,4.835616438356165,28,45,8.882153724852943,6.198163359663577,47,26,0,540.5082191780823,183,77,0
live_fill_spread,eurusd,M5,20103,2026-05-17 21:05:00+00:00,2026-08-21 20:55:00+00:00,7,4,3,57.14285714285714,0.650928454496016,0.09298977921371657,1.207205850197669,65.09284544960164,0.6509284544960164,-104.66853408029783,-1.0466853408029784,177.42857142857142,5,2,-1.2229101243170697,1.8738385788130858,4,3,0,276.2000000000058,7,7,0
live_fill_spread,eurusd,M15,22176,2025-09-30 21:00:00+00:00,2026-08-21 20:45:00+00:00,22,13,9,59.09090909090909,1.8550828313998964,0.08432194688181348,1.192714911956831,185.50828313998974,1.8550828313998975,-350.496085206134,-3.5049608520613402,45.54545454545455,12,10,-5.552424462468367,7.407507293868264,12,9,1,225.36363636363714,30,22,0
live_fill_spread,eurusd,H1,22655,2023-01-01 23:00:00+00:00,2026-08-21 20:00:00+00:00,108,55,53,50.92592592592593,-2.804931725919057,-0.025971590054806086,0.9493039430844521,-280.4931725919054,-2.804931725919054,-2070.164159523527,-20.70164159523527,21.12037037037037,56,52,-4.61961782280223,1.8146860968831706,55,53,0,364.78518518518626,189,113,0
live_fill_spread,eurusd,H4,21210,2013-01-01 22:00:00+00:00,2026-08-21 17:00:00+00:00,242,134,108,55.371900826446286,18.380610508344855,0.0759529359848961,1.1643902467315979,1838.0610508344857,18.38061050834486,-1149.0177354680163,-11.490177354680164,7.966942148760331,124,118,12.59083940768826,5.7897711006565995,134,108,0,524.8876033057852,493,259,0
live_fill_spread,eurusd,D1,6307,2002-05-07 00:00:00+00:00,2026-08-21 00:00:00+00:00,42,23,19,54.761904761904766,2.7753419102370955,0.06607956929135941,1.1412017774371015,277.53419102370947,2.7753419102370946,-522.9724190060006,-5.229724190060005,2.0476190476190474,18,24,-2.394296621606029,5.169638531843125,23,19,0,635.6428571428563,228,42,0
live_fill_spread,gbpusd,M5,20086,2026-05-17 21:05:00+00:00,2026-08-21 20:55:00+00:00,6,4,2,66.66666666666666,1.6485699012142847,0.2747616502023808,1.7581929976589263,164.8569901214285,1.6485699012142851,-120.32982394423198,-1.2032982394423197,124.16666666666667,5,1,0.6775274301718309,0.9710424710424538,4,2,0,320.2000000000001,8,6,0
live_fill_spread,gbpusd,M15,22174,2025-09-30 21:00:00+00:00,2026-08-21 20:45:00+00:00,58,25,33,43.103448275862064,-12.23950175036403,-0.21102589224765567,0.6573310619233397,-1223.9501750364032,-12.239501750364031,-1408.6041812464446,-14.086041812464444,37.775862068965516,36,22,-4.888873523284278,-7.3506282270797545,25,33,0,288.97586206896426,82,59,0
live_fill_spread,gbpusd,H1,22655,2023-01-01 23:00:00+00:00,2026-08-21 20:00:00+00:00,147,69,78,46.93877551020408,-18.416431729553377,-0.1252818485003631,0.7781361814310704,-1841.6431729553383,-18.416431729553384,-1935.7096286515352,-19.35709628651535,17.1156462585034,77,70,-18.248009258022048,-0.16842247153133183,69,78,0,387.83129251700706,248,155,0
live_fill_spread,gbpusd,H4,21210,2013-01-01 22:00:00+00:00,2026-08-21 17:00:00+00:00,230,118,112,51.30434782608696,-2.107840212575023,-0.009164522663369664,0.9817732952872561,-210.7840212575026,-2.107840212575026,-2023.4567794648028,-20.23456779464803,6.369565217391305,130,100,1.733963651753259,-3.84180386432828,118,112,0,568.797391304348,547,238,0
live_fill_spread,gbpusd,D1,6311,2002-05-07 00:00:00+00:00,2026-08-21 00:00:00+00:00,31,18,13,58.06451612903226,3.73076066705371,0.12034711829205516,1.2704790969958133,373.07606670537075,3.730760667053708,-428.30418177239153,-4.283041817723916,1.6774193548387097,16,15,1.2598542734877087,2.470906393566002,18,13,0,613.5967741935463,216,31,0
live_fill_spread,us100,M5,21307,2026-05-10 22:00:00+00:00,2026-08-21 20:55:00+00:00,222,115,107,51.80180180180181,-4.217066704917991,-0.01899579596809906,0.9626975693934732,-421.706670491799,-4.21706670491799,-1884.5608132943798,-18.8456081329438,7.2792792792792795,115,107,-2.703277973320296,-1.513788731597693,115,107,0,449.3729729729727,404,226,0
live_fill_spread,us100,M15,21857,2025-09-30 21:00:00+00:00,2026-08-21 20:45:00+00:00,191,117,74,61.25654450261781,33.60403294752851,0.17593734527501836,1.4328564650609688,3360.4032947528503,33.60403294752851,-1016.2583136134399,-10.1625831361344,4.680628272251309,115,76,20.86150957481493,12.742523372713569,117,74,0,465.83246073298324,466,196,0
live_fill_spread,us100,H1,21841,2023-01-02 23:00:00+00:00,2026-08-21 20:00:00+00:00,148,83,65,56.08108108108109,11.537619488915825,0.07795688843862043,1.1693811125300464,1153.7619488915825,11.537619488915825,-840.6536098514043,-8.406536098514044,3.8716216216216215,99,49,8.408015051878866,3.1296044370369582,83,65,0,544.8094594594588,543,151,0
live_fill_spread,us100,H4,14187,2017-04-30 22:00:00+00:00,2026-08-21 17:00:00+00:00,94,50,44,53.191489361702125,-4.2092485465430425,-0.044779239856840874,0.9193217764622686,-420.92485465430445,-4.209248546543044,-1311.5995303721356,-13.115995303721355,5.574468085106383,71,23,-0.035694105809043974,-4.1735544407340015,50,44,0,595.9489361702124,440,98,0
live_fill_spread,us100,D1,2897,2015-04-20 00:00:00+00:00,2026-08-21 00:00:00+00:00,16,10,6,62.5,3.503679002659033,0.21897993766618956,1.55844421905497,350.36790026590336,3.503679002659034,-217.77245729545575,-2.1777245729545576,1.6875,13,3,2.5613354892288323,0.9423435134302012,10,6,0,633.9000000000004,95,16,0
live_fill_spread,us30,M5,21299,2026-05-10 22:00:00+00:00,2026-08-21 20:55:00+00:00,167,94,73,56.287425149700596,6.812956711293688,0.04079614797181849,1.0847355143435295,681.2956711293682,6.8129567112936815,-1079.4204269355887,-10.794204269355886,6.706586826347305,95,72,1.4048209650623347,5.40813574623135,95,72,0,430.5005988023974,323,172,0
live_fill_spread,us30,M15,21855,2025-09-30 21:00:00+00:00,2026-08-21 20:45:00+00:00,170,88,82,51.76470588235295,-6.012924152325025,-0.03537014207250015,0.9317266012585512,-601.2924152325028,-6.012924152325027,-2051.602732368683,-20.51602732368683,4.4,88,82,3.05015332801898,-9.063077480344006,89,81,0,464.4882352941191,454,172,0
live_fill_spread,us30,H1,21841,2023-01-02 23:00:00+00:00,2026-08-21 20:00:00+00:00,130,79,51,60.76923076923077,19.902232264800524,0.15309409434461943,1.3604675598947034,1990.2232264800527,19.902232264800528,-576.3939005108259,-5.763939005108258,2.8461538461538463,82,48,14.1787726048378,5.723459659962722,79,51,0,549.689230769231,601,132,0
live_fill_spread,us30,H4,14102,2017-04-30 22:00:00+00:00,2026-08-21 17:00:00+00:00,37,17,20,45.94594594594595,-4.9801261712179485,-0.13459800462751212,0.7631385580765818,-498.0126171217949,-4.9801261712179485,-798.2123351841656,-7.982123351841655,1.3783783783783783,31,6,-2.4381675600722863,-2.541958611145664,17,20,0,550.318918918917,423,37,0
live_fill_spread,us30,D1,2403,2017-05-01 00:00:00+00:00,2026-08-21 00:00:00+00:00,4,2,2,50.0,-0.6234780419511118,-0.15586951048777795,0.7541987272918792,-62.347804195111195,-0.6234780419511119,-145.45454545452958,-1.4545454545452958,1.0,2,2,-0.1350457693780185,-0.4884322725730933,2,2,0,313.75,92,4,0
live_fill_spread,us500,M5,21257,2026-05-10 22:00:00+00:00,2026-08-21 20:55:00+00:00,13,5,8,38.46153846153847,-3.495778087670323,-0.268906006743871,0.5773844578311028,-349.57780876703225,-3.4957780876703226,-626.9593998849487,-6.269593998849486,41.07692307692308,7,6,-3.266961980129337,-0.2288161075409859,5,8,0,271.56923076923005,16,13,0
