fill_fraction,symbol,timeframe,bars,start,end,trades,wins,losses,win_rate,total_R,expectancy_R,profit_factor,total_pnl,return_pct,max_drawdown,max_drawdown_pct,avg_bars_held,buy_trades,sell_trades,buy_R,sell_R,tp_exits,sl_exits,unresolved,avg_sl_points,setups_detected,setups_entered,rejected_stops
0.0,eurgbp,M15,22176,2025-09-30 21:00:00+00:00,2026-08-21 20:45:00+00:00,4,2,2,50.0,0.0,0.0,1.0,0.0,0.0,-100.0,-1.0,272.0,2,2,0.0,0.0,2,2,0,283.75000000000205,6,4,0
0.1,eurgbp,M15,22176,2025-09-30 21:00:00+00:00,2026-08-21 20:45:00+00:00,4,2,2,50.0,0.0,0.0,1.0,0.0,0.0,-100.0,-1.0,265.75,2,2,0.0,0.0,2,2,0,280.82500000000397,6,4,0
0.2,eurgbp,M15,22176,2025-09-30 21:00:00+00:00,2026-08-21 20:45:00+00:00,4,2,2,50.0,0.0,0.0,1.0,0.0,0.0,-100.0,-1.0,234.0,2,2,0.0,0.0,2,2,0,277.9000000000003,6,4,0
0.3,eurgbp,M15,22176,2025-09-30 21:00:00+00:00,2026-08-21 20:45:00+00:00,4,2,2,50.0,0.0,0.0,1.0,0.0,0.0,-100.0,-1.0,234.0,2,2,0.0,0.0,2,2,0,274.975000000005,6,4,0
0.4,eurgbp,M15,22176,2025-09-30 21:00:00+00:00,2026-08-21 20:45:00+00:00,4,2,2,50.0,0.0,0.0,1.0,0.0,0.0,-100.0,-1.0,233.75,2,2,0.0,0.0,2,2,0,272.05000000000143,6,4,0
0.5,eurgbp,M15,22176,2025-09-30 21:00:00+00:00,2026-08-21 20:45:00+00:00,4,2,2,50.0,0.0,0.0,1.0,0.0,0.0,-100.0,-1.0,219.0,2,2,0.0,0.0,2,2,0,269.1250000000034,6,4,0
0.75,eurgbp,M15,22176,2025-09-30 21:00:00+00:00,2026-08-21 20:45:00+00:00,4,3,1,75.0,2.0,0.5,3.0,200.0,2.0,-100.0,-1.0,194.75,2,2,2.0,0.0,3,1,0,261.8125000000054,6,4,0
1.0,eurgbp,M15,22176,2025-09-30 21:00:00+00:00,2026-08-21 20:45:00+00:00,4,3,1,75.0,2.0,0.5,3.0,200.0,2.0,-100.0,-1.0,149.75,2,2,2.0,0.0,3,1,0,254.50000000000472,6,4,0
0.0,eurgbp,H1,22655,2023-01-01 23:00:00+00:00,2026-08-21 20:00:00+00:00,39,21,18,53.84615384615385,3.0,0.07692307692307693,1.1666666666666667,300.0,3.0,-800.0,-8.0,34.61538461538461,22,17,2.0,1.0,21,18,0,304.8205128205125,55,39,0
0.1,eurgbp,H1,22655,2023-01-01 23:00:00+00:00,2026-08-21 20:00:00+00:00,39,21,18,53.84615384615385,3.0,0.07692307692307693,1.1666666666666667,300.0,3.0,-800.0,-8.0,34.35897435897436,22,17,2.0,1.0,21,18,0,299.8538461538465,55,39,0
0.2,eurgbp,H1,22655,2023-01-01 23:00:00+00:00,2026-08-21 20:00:00+00:00,39,21,18,53.84615384615385,3.0,0.07692307692307693,1.1666666666666667,300.0,3.0,-800.0,-8.0,34.35897435897436,22,17,2.0,1.0,21,18,0,294.88717948717874,55,39,0
0.3,eurgbp,H1,22655,2023-01-01 23:00:00+00:00,2026-08-21 20:00:00+00:00,39,21,18,53.84615384615385,3.0,0.07692307692307693,1.1666666666666667,300.0,3.0,-800.0,-8.0,33.61538461538461,22,17,2.0,1.0,21,18,0,289.9205128205121,55,39,0
0.4,eurgbp,H1,22655,2023-01-01 23:00:00+00:00,2026-08-21 20:00:00+00:00,39,23,16,58.97435897435898,7.0,0.1794871794871795,1.4375,700.0,7.000000000000001,-700.0,-7.000000000000001,32.30769230769231,22,17,4.0,3.0,23,16,0,284.9538461538455,55,39,0
0.5,eurgbp,H1,22655,2023-01-01 23:00:00+00:00,2026-08-21 20:00:00+00:00,39,23,16,58.97435897435898,7.0,0.1794871794871795,1.4375,700.0,7.000000000000001,-700.0,-7.000000000000001,31.23076923076923,22,17,4.0,3.0,23,16,0,279.98717948717876,55,39,0
0.75,eurgbp,H1,22655,2023-01-01 23:00:00+00:00,2026-08-21 20:00:00+00:00,38,26,12,68.42105263157895,14.0,0.3684210526315789,2.1666666666666665,1400.0,14.000000000000002,-400.0,-4.0,27.68421052631579,21,17,7.0,7.0,26,12,0,274.67763157894825,55,38,0
1.0,eurgbp,H1,22655,2023-01-01 23:00:00+00:00,2026-08-21 20:00:00+00:00,38,27,11,71.05263157894737,16.0,0.42105263157894735,2.4545454545454546,1600.0,16.0,-400.0,-4.0,26.105263157894736,21,17,7.0,9.0,27,11,0,262.50000000000017,55,38,0
0.0,eurgbp,H4,21210,2013-01-01 22:00:00+00:00,2026-08-21 17:00:00+00:00,221,117,104,52.94117647058824,13.0,0.058823529411764705,1.125,1300.0,13.0,-2300.0,-23.0,13.819004524886878,114,107,16.0,-3.0,117,104,0,485.7420814479635,358,233,0
0.1,eurgbp,H4,21210,2013-01-01 22:00:00+00:00,2026-08-21 17:00:00+00:00,222,120,102,54.054054054054056,18.0,0.08108108108108109,1.1764705882352942,1800.0,18.0,-2000.0,-20.0,13.513513513513514,114,108,16.0,2.0,120,102,0,475.84639639639636,358,233,0
